Ýl,Toplam Nüfus,Erkek Nüfusu,Kadýn Nüfusu,Nüfus Yüzdesi
Ýstanbul,15519267,7790256,7729011,18.66
Ankara,5639076,2793850,2845226,6.78
Ýzmir,4367251,2174319,2192932,5.25
Bursa,3056120,1530956,1525164,3.68
Antalya,2511700,1265171,1246529,3.02
Adana,2237940,1117032,1120908,2.69
Konya,2232374,1108968,1123406,2.68
Þanlýurfa,2073614,1045964,1027650,2.49
Gaziantep,2069364,1044799,1024565,2.49
Kocaeli,1953035,988098,964937,2.35
Mersin,1840425,919594,920831,2.21
Diyarbakýr,1756353,88619,870163,2.11
Hatay,1628894,817998,810896,1.96
Manisa,1440611,725238,715373,1.73
Kayseri,1407409,705545,701864,1.69
Samsun,1348542,669055,679487,1.62
Balýkesir,1228620,613474,615146,1.48
Kahramanmaraþ,1154102,586616,567486,1.39
Van,1136757,578044,558713,1.37
Aydýn,1110972,552626,558346,1.34
Tekirdað,1055412,542646,512766,1.27
Denizli,1037208,517716,519492,1.25
Sakarya,1029650,516,51365,1.24
Muðla,983142,500602,48254,1.18
Eskiþehir,887475,443635,44384,1.07
Mardin,838778,420923,417855,1.01
Trabzon,808974,400723,408251,0.97
Malatya,800165,398249,401916,0.96
Erzurum,762062,379893,382169,0.92
Ordu,754198,376933,377265,0.91
Afyonkarahisar,729483,362447,367036,0.88
Sivas,638956,319624,319332,0.77
Adýyaman,626465,316112,310353,0.75
Tokat,612747,304938,307809,0.74
Batman,608659,306261,302398,0.73
Zonguldak,596053,295832,300221,0.72
Elazýð,591098,293415,297683,0.71
Kütahya,579257,28502,294237,0.7
Çanakkale,542157,272097,27006,0.65
Osmaniye,538759,272242,266517,0.65
Aðrý,536199,277887,258312,0.64
Çorum,530864,263354,26751,0.64
Þýrnak,529615,277728,251887,0.64
Giresun,4484,223422,224978,0.54
Isparta,444914,221316,223598,0.54
Yozgat,4212,210127,211073,0.51
Aksaray,416367,20739,208977,0.5
Edirne,413903,210304,203599,0.5
Muþ,408809,208534,200275,0.49
Düzce,392166,196494,195672,0.47
Kastamonu,379405,189247,190158,0.46
Uþak,370509,184529,18598,0.45
Niðde,362861,182177,180684,0.44
Kýrklareli,361836,18507,176766,0.44
Bitlis,348115,179823,168292,0.42
Rize,343212,171571,171641,0.41
Amasya,3378,170407,167393,0.41
Siirt,33028,169211,161069,0.4
Bolu,316126,156777,159349,0.38
Nevþehir,30301,150047,152963,0.36
Kars,28541,146668,138742,0.34
Kýrýkkale,283017,141865,141152,0.34
Hakkari,280991,151143,129848,0.34
Bingöl,279812,141818,137994,0.34
Yalova,270976,135909,135067,0.33
Burdur,270796,136377,134419,0.33
Karaman,253279,126648,126631,0.3
Karabük,248458,124291,124167,0.3
Kýrþehir,242938,120557,122381,0.29
Erzincan,234747,119906,114841,0.28
Bilecik,219427,112027,1074,0.26
Sinop,218243,108927,109316,0.26
Iðdýr,199442,102417,97025,0.24
Bartýn,198249,97908,100341,0.24
Çankýrý,195789,98683,97106,0.24
Artvin,170875,85975,849,0.21
Gümüþhane,164521,83196,81325,0.2
Kilis,14249,7252,6997,0.17
Ardahan,97319,50697,46622,0.12
Bayburt,84843,43006,41837,0.1
Tunceli,8466,46082,38578,0.1
